試合ID,試合日,曜日,リーグ区分,ホーム/ビジター,球団,対戦球団,投手フルネーム,登板順,登板区分,結果,投球数,打者,投球回,投球回(アウト),奪三振,暴投,ボーク,失点,自責点,試合防御率
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,日當 直喜,5,救援,,12,3,1,3,1,0,0,0,0,0.00
20260705_D-G_14,2026-07-05,日,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,井上 温大,1,先発,勝,98,27,7,21,8,0,0,0,0,0.00
20260705_D-G_14,2026-07-05,日,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,田中 瑛斗,2,救援,H,19,5,1,3,0,0,0,0,0,0.00
20260705_D-G_14,2026-07-05,日,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,Ｒ．マルティネス,3,救援,S,6,3,1,3,0,0,0,0,0,0.00
20260705_H-M_11,2026-07-05,日,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,松本 晴,1,先発,勝,92,19,5,15,5,0,0,2,2,3.60
20260705_H-M_11,2026-07-05,日,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,津森 宥紀,2,救援,,21,3,1,3,1,0,0,0,0,0.00
20260705_H-M_11,2026-07-05,日,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,Ｒ．オスナ,3,救援,,21,5,1,3,2,0,0,0,0,0.00
20260705_H-M_11,2026-07-05,日,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,松本 裕樹,4,救援,,7,3,1,3,0,0,0,0,0,0.00
20260705_H-M_11,2026-07-05,日,パ・リーグ公式戦,ホーム,福岡ソフトバンクホークス,千葉ロッテマリーンズ,鈴木 豪太,5,救援,,9,3,1,3,0,0,0,0,0,0.00
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,福島 蓮,1,先発,,45,13,2,6,3,1,0,3,3,13.50
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,上原 健太,2,救援,勝,32,6,2,6,1,0,0,0,0,0.00
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,達 孝太,3,救援,H,42,10,2,6,2,0,0,0,0,0.00
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,島本 浩也,4,救援,H,15,3,1,3,1,0,0,0,0,0.00
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,柳川 大晟,5,救援,H,14,3,1,3,2,0,0,0,0,0.00
20260705_E-F_14,2026-07-05,日,パ・リーグ公式戦,ビジター,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,田中 正義,6,救援,S,24,4,1,3,0,0,0,0,0,0.00
20260704_S-DB_12,2026-07-04,土,セ・リーグ公式戦,ビジター,横浜DeNAベイスターズ,東京ヤクルトスワローズ,篠木 健太郎,1,先発,勝,130,33,9,27,6,0,0,1,1,1.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,福岡ソフトバンクホークス,Ｓ．ロング,1,先発,勝,104,31,7,21,6,0,0,0,0,0.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,福岡ソフトバンクホークス,坂本 光士郎,2,救援,,13,4,1,3,2,0,0,0,0,0.00
20260704_H-M_10,2026-07-04,土,パ・リーグ公式戦,ビジター,千葉ロッテマリーンズ,福岡ソフトバンクホークス,高野 脩汰,3,救援,,15,4,1,3,2,0,0,1,1,9.00
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ホーム,中日ドラゴンズ,読売ジャイアンツ,涌井 秀章,1,先発,,84,24,7,21,4,0,0,1,1,1.29
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ホーム,中日ドラゴンズ,読売ジャイアンツ,橋本 侑樹,2,救援,勝,11,4,1,3,0,0,0,0,0,0.00
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ホーム,中日ドラゴンズ,読売ジャイアンツ,松山 晋也,3,救援,S,14,3,1,3,1,0,0,0,0,0.00
20260704_S-DB_12,2026-07-04,土,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,松本 健吾,1,先発,敗,98,24,5,15,3,0,0,5,5,9.00
20260704_S-DB_12,2026-07-04,土,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,阪口 皓亮,2,救援,,34,9,2,6,3,0,0,3,3,13.50
20260704_S-DB_12,2026-07-04,土,セ・リーグ公式戦,ホーム,東京ヤクルトスワローズ,横浜DeNAベイスターズ,小澤 怜史,3,救援,,42,11,2,6,3,0,0,4,4,18.00
20260704_E-F_13,2026-07-04,土,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,前田 健太,1,先発,勝,105,29,8.2,26,5,0,0,1,1,1.04
20260704_E-F_13,2026-07-04,土,パ・リーグ公式戦,ホーム,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,藤平 尚真,2,救援,S,6,1,0.1,1,0,0,0,0,0,0.00
20260704_D-G_13,2026-07-04,土,セ・リーグ公式戦,ビジター,読売ジャイアンツ,中日ドラゴンズ,竹丸 和幸,1,先発,,104,26,6,18,9,0,0,1,0,0.00
