選手名,球団,対球団名,試合,打率,本塁打,打点,盗塁,更新日
元山 飛優,阪神タイガース,横浜DeNAベイスターズ,1,0.000,0,0,0,2026/06/28
元山 飛優,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,中日ドラゴンズ,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,広島東洋カープ,1,0.000,0,0,0,2026/06/28
元山 飛優,阪神タイガース,東京ヤクルトスワローズ,2,0.500,0,0,0,2026/06/28
元山 飛優,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
元山 飛優,阪神タイガース,埼玉西武ライオンズ,1,0.000,0,0,0,2026/06/28
元山 飛優,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,横浜DeNAベイスターズ,7,0.364,0,4,1,2026/06/28
木浪 聖也,阪神タイガース,読売ジャイアンツ,6,0.200,0,3,0,2026/06/28
木浪 聖也,阪神タイガース,中日ドラゴンズ,9,0.231,0,2,0,2026/06/28
木浪 聖也,阪神タイガース,広島東洋カープ,7,0.238,1,2,0,2026/06/28
木浪 聖也,阪神タイガース,東京ヤクルトスワローズ,4,0.250,0,2,0,2026/06/28
木浪 聖也,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,北海道日本ハムファイターズ,2,0.250,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,オリックス・バファローズ,2,0.000,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.000,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
木浪 聖也,阪神タイガース,千葉ロッテマリーンズ,1,0.000,0,0,0,2026/06/28
森下 翔太,阪神タイガース,横浜DeNAベイスターズ,10,0.270,3,5,1,2026/06/28
森下 翔太,阪神タイガース,読売ジャイアンツ,11,0.341,1,4,0,2026/06/28
森下 翔太,阪神タイガース,中日ドラゴンズ,11,0.372,5,10,0,2026/06/28
森下 翔太,阪神タイガース,広島東洋カープ,9,0.167,0,3,1,2026/06/28
森下 翔太,阪神タイガース,東京ヤクルトスワローズ,9,0.250,3,7,0,2026/06/28
森下 翔太,阪神タイガース,福岡ソフトバンクホークス,3,0.364,1,2,0,2026/06/28
森下 翔太,阪神タイガース,北海道日本ハムファイターズ,3,0.333,1,1,0,2026/06/28
森下 翔太,阪神タイガース,オリックス・バファローズ,3,0.583,0,1,0,2026/06/28
森下 翔太,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.333,0,1,1,2026/06/28
森下 翔太,阪神タイガース,埼玉西武ライオンズ,3,0.091,0,0,0,2026/06/28
森下 翔太,阪神タイガース,千葉ロッテマリーンズ,3,0.182,2,4,0,2026/06/28
梅野 隆太郎,阪神タイガース,横浜DeNAベイスターズ,1,0.667,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,読売ジャイアンツ,2,0.167,1,1,0,2026/06/28
梅野 隆太郎,阪神タイガース,中日ドラゴンズ,1,0.000,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,広島東洋カープ,2,0.333,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,東京ヤクルトスワローズ,1,0.333,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,福岡ソフトバンクホークス,1,0.000,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,北海道日本ハムファイターズ,1,0.000,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
梅野 隆太郎,阪神タイガース,千葉ロッテマリーンズ,1,0.000,0,0,1,2026/06/28
大山 悠輔,阪神タイガース,横浜DeNAベイスターズ,8,0.440,4,11,0,2026/06/28
大山 悠輔,阪神タイガース,読売ジャイアンツ,11,0.237,1,6,0,2026/06/28
大山 悠輔,阪神タイガース,中日ドラゴンズ,11,0.333,1,6,0,2026/06/28
大山 悠輔,阪神タイガース,広島東洋カープ,9,0.152,0,2,0,2026/06/28
大山 悠輔,阪神タイガース,東京ヤクルトスワローズ,9,0.355,3,11,0,2026/06/28
大山 悠輔,阪神タイガース,福岡ソフトバンクホークス,3,0.100,1,1,0,2026/06/28
大山 悠輔,阪神タイガース,北海道日本ハムファイターズ,3,0.333,0,1,0,2026/06/28
大山 悠輔,阪神タイガース,オリックス・バファローズ,3,0.111,0,2,0,2026/06/28
大山 悠輔,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.300,1,3,0,2026/06/28
大山 悠輔,阪神タイガース,埼玉西武ライオンズ,3,0.100,0,0,0,2026/06/28
大山 悠輔,阪神タイガース,千葉ロッテマリーンズ,3,0.167,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,横浜DeNAベイスターズ,6,0.125,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,読売ジャイアンツ,6,0.000,0,0,1,2026/06/28
熊谷 敬宥,阪神タイガース,中日ドラゴンズ,3,0.500,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,広島東洋カープ,2,0.000,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,東京ヤクルトスワローズ,5,0.267,0,1,0,2026/06/28
熊谷 敬宥,阪神タイガース,福岡ソフトバンクホークス,3,0.444,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,北海道日本ハムファイターズ,1,0.000,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,オリックス・バファローズ,3,0.182,0,2,0,2026/06/28
熊谷 敬宥,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.444,0,5,2,2026/06/28
熊谷 敬宥,阪神タイガース,埼玉西武ライオンズ,2,0.000,0,0,0,2026/06/28
熊谷 敬宥,阪神タイガース,千葉ロッテマリーンズ,3,0.125,0,0,0,2026/06/28
近本 光司,阪神タイガース,横浜DeNAベイスターズ,5,0.250,0,1,1,2026/06/28
近本 光司,阪神タイガース,読売ジャイアンツ,5,0.100,0,0,0,2026/06/28
近本 光司,阪神タイガース,中日ドラゴンズ,6,0.280,0,2,2,2026/06/28
近本 光司,阪神タイガース,広島東洋カープ,5,0.421,0,2,2,2026/06/28
近本 光司,阪神タイガース,東京ヤクルトスワローズ,3,0.167,0,0,1,2026/06/28
近本 光司,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
近本 光司,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
近本 光司,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
近本 光司,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
近本 光司,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
近本 光司,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
中野 拓夢,阪神タイガース,横浜DeNAベイスターズ,10,0.324,0,1,1,2026/06/28
中野 拓夢,阪神タイガース,読売ジャイアンツ,11,0.378,0,4,1,2026/06/28
中野 拓夢,阪神タイガース,中日ドラゴンズ,11,0.295,0,2,1,2026/06/28
中野 拓夢,阪神タイガース,広島東洋カープ,9,0.143,0,2,0,2026/06/28
中野 拓夢,阪神タイガース,東京ヤクルトスワローズ,9,0.276,0,3,0,2026/06/28
中野 拓夢,阪神タイガース,福岡ソフトバンクホークス,3,0.300,0,0,0,2026/06/28
中野 拓夢,阪神タイガース,北海道日本ハムファイターズ,3,0.333,0,0,0,2026/06/28
中野 拓夢,阪神タイガース,オリックス・バファローズ,3,0.357,0,1,0,2026/06/28
中野 拓夢,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.286,0,1,0,2026/06/28
中野 拓夢,阪神タイガース,埼玉西武ライオンズ,3,0.300,0,0,1,2026/06/28
中野 拓夢,阪神タイガース,千葉ロッテマリーンズ,3,0.273,0,1,0,2026/06/28
佐藤 輝明,阪神タイガース,横浜DeNAベイスターズ,10,0.324,1,8,0,2026/06/28
佐藤 輝明,阪神タイガース,読売ジャイアンツ,11,0.455,2,8,2,2026/06/28
佐藤 輝明,阪神タイガース,中日ドラゴンズ,11,0.412,5,12,0,2026/06/28
佐藤 輝明,阪神タイガース,広島東洋カープ,9,0.278,2,4,0,2026/06/28
佐藤 輝明,阪神タイガース,東京ヤクルトスワローズ,9,0.364,2,7,1,2026/06/28
佐藤 輝明,阪神タイガース,福岡ソフトバンクホークス,3,0.182,0,0,0,2026/06/28
佐藤 輝明,阪神タイガース,北海道日本ハムファイターズ,3,0.333,1,1,0,2026/06/28
佐藤 輝明,阪神タイガース,オリックス・バファローズ,3,0.500,0,2,0,2026/06/28
佐藤 輝明,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.333,0,2,1,2026/06/28
佐藤 輝明,阪神タイガース,埼玉西武ライオンズ,3,0.273,1,2,1,2026/06/28
佐藤 輝明,阪神タイガース,千葉ロッテマリーンズ,3,0.250,1,1,0,2026/06/28
立石 正広,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
立石 正広,阪神タイガース,読売ジャイアンツ,3,0.500,1,5,0,2026/06/28
立石 正広,阪神タイガース,中日ドラゴンズ,2,0.250,0,0,0,2026/06/28
立石 正広,阪神タイガース,広島東洋カープ,0,,0,0,0,2026/06/28
立石 正広,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
立石 正広,阪神タイガース,福岡ソフトバンクホークス,3,0.250,1,2,0,2026/06/28
立石 正広,阪神タイガース,北海道日本ハムファイターズ,3,0.000,0,0,0,2026/06/28
立石 正広,阪神タイガース,オリックス・バファローズ,3,0.000,0,0,0,2026/06/28
立石 正広,阪神タイガース,東北楽天ゴールデンイーグルス,2,0.222,0,2,0,2026/06/28
立石 正広,阪神タイガース,埼玉西武ライオンズ,3,0.000,0,0,0,2026/06/28
立石 正広,阪神タイガース,千葉ロッテマリーンズ,3,0.273,0,0,1,2026/06/28
坂本 誠志郎,阪神タイガース,横浜DeNAベイスターズ,7,0.200,1,4,0,2026/06/28
坂本 誠志郎,阪神タイガース,読売ジャイアンツ,7,0.333,0,5,1,2026/06/28
坂本 誠志郎,阪神タイガース,中日ドラゴンズ,5,0.286,0,5,0,2026/06/28
坂本 誠志郎,阪神タイガース,広島東洋カープ,8,0.150,0,1,1,2026/06/28
坂本 誠志郎,阪神タイガース,東京ヤクルトスワローズ,5,0.200,0,0,0,2026/06/28
坂本 誠志郎,阪神タイガース,福岡ソフトバンクホークス,1,0.250,0,0,0,2026/06/28
坂本 誠志郎,阪神タイガース,北海道日本ハムファイターズ,1,0.500,0,1,0,2026/06/28
坂本 誠志郎,阪神タイガース,オリックス・バファローズ,3,0.125,0,0,0,2026/06/28
坂本 誠志郎,阪神タイガース,東北楽天ゴールデンイーグルス,2,0.000,0,0,0,2026/06/28
坂本 誠志郎,阪神タイガース,埼玉西武ライオンズ,3,0.000,0,0,0,2026/06/28
坂本 誠志郎,阪神タイガース,千葉ロッテマリーンズ,1,0.000,0,0,0,2026/06/28
伏見 寅威,阪神タイガース,横浜DeNAベイスターズ,4,0.222,0,0,0,2026/06/28
伏見 寅威,阪神タイガース,読売ジャイアンツ,5,0.000,0,1,0,2026/06/28
伏見 寅威,阪神タイガース,中日ドラゴンズ,7,0.087,0,1,0,2026/06/28
伏見 寅威,阪神タイガース,広島東洋カープ,2,0.000,0,1,0,2026/06/28
伏見 寅威,阪神タイガース,東京ヤクルトスワローズ,6,0.353,0,3,0,2026/06/28
伏見 寅威,阪神タイガース,福岡ソフトバンクホークス,1,0.333,0,2,0,2026/06/28
伏見 寅威,阪神タイガース,北海道日本ハムファイターズ,1,0.500,0,0,0,2026/06/28
伏見 寅威,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
伏見 寅威,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.333,0,1,0,2026/06/28
伏見 寅威,阪神タイガース,埼玉西武ライオンズ,2,0.250,0,0,0,2026/06/28
伏見 寅威,阪神タイガース,千葉ロッテマリーンズ,1,0.250,0,0,0,2026/06/28
ディベイニー,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,中日ドラゴンズ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,広島東洋カープ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,北海道日本ハムファイターズ,2,0.500,0,0,0,2026/06/28
ディベイニー,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.000,0,0,0,2026/06/28
ディベイニー,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
ディベイニー,阪神タイガース,千葉ロッテマリーンズ,2,0.000,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,読売ジャイアンツ,3,0.000,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,中日ドラゴンズ,1,0.000,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,広島東洋カープ,3,0.000,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,東京ヤクルトスワローズ,3,0.333,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
濱田 太貴,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,横浜DeNAベイスターズ,2,0.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,読売ジャイアンツ,1,0.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,中日ドラゴンズ,0,,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,広島東洋カープ,1,0.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,東京ヤクルトスワローズ,1,0.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,福岡ソフトバンクホークス,1,0.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,東北楽天ゴールデンイーグルス,1,1.000,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
糸原 健斗,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,読売ジャイアンツ,2,0.000,0,0,0,2026/06/28
岡城 快生,阪神タイガース,中日ドラゴンズ,5,0.100,0,0,0,2026/06/28
岡城 快生,阪神タイガース,広島東洋カープ,1,0.000,0,0,0,2026/06/28
岡城 快生,阪神タイガース,東京ヤクルトスワローズ,3,0.571,0,1,0,2026/06/28
岡城 快生,阪神タイガース,福岡ソフトバンクホークス,1,0.000,0,0,0,2026/06/28
岡城 快生,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
岡城 快生,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,横浜DeNAベイスターズ,7,0.083,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,読売ジャイアンツ,8,0.308,0,1,0,2026/06/28
小幡 竜平,阪神タイガース,中日ドラゴンズ,6,0.167,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,広島東洋カープ,4,0.154,0,1,1,2026/06/28
小幡 竜平,阪神タイガース,東京ヤクルトスワローズ,5,0.368,0,2,0,2026/06/28
小幡 竜平,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,北海道日本ハムファイターズ,1,0.000,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,埼玉西武ライオンズ,1,0.000,0,0,0,2026/06/28
小幡 竜平,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,中日ドラゴンズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,広島東洋カープ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,埼玉西武ライオンズ,1,0.000,0,0,0,2026/06/28
榮枝 裕貴,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,横浜DeNAベイスターズ,1,0.000,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,中日ドラゴンズ,1,0.000,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,広島東洋カープ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
井坪 陽生,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,中日ドラゴンズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,広島東洋カープ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,福岡ソフトバンクホークス,1,0.000,0,0,0,2026/06/28
島田 海吏,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
島田 海吏,阪神タイガース,東北楽天ゴールデンイーグルス,2,0.000,0,0,0,2026/06/28
島田 海吏,阪神タイガース,埼玉西武ライオンズ,1,0.000,0,0,0,2026/06/28
島田 海吏,阪神タイガース,千葉ロッテマリーンズ,1,0.000,0,0,0,2026/06/28
前川 右京,阪神タイガース,横浜DeNAベイスターズ,5,0.111,0,0,0,2026/06/28
前川 右京,阪神タイガース,読売ジャイアンツ,3,0.250,0,2,0,2026/06/28
前川 右京,阪神タイガース,中日ドラゴンズ,8,0.304,1,5,0,2026/06/28
前川 右京,阪神タイガース,広島東洋カープ,2,0.250,0,0,0,2026/06/28
前川 右京,阪神タイガース,東京ヤクルトスワローズ,2,0.000,0,0,0,2026/06/28
前川 右京,阪神タイガース,福岡ソフトバンクホークス,3,0.250,0,1,0,2026/06/28
前川 右京,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
前川 右京,阪神タイガース,オリックス・バファローズ,1,0.000,0,0,0,2026/06/28
前川 右京,阪神タイガース,東北楽天ゴールデンイーグルス,1,1.000,0,0,0,2026/06/28
前川 右京,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
前川 右京,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,横浜DeNAベイスターズ,4,0.250,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,読売ジャイアンツ,3,0.250,0,1,0,2026/06/28
小野寺 暖,阪神タイガース,中日ドラゴンズ,2,0.000,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,広島東洋カープ,2,0.000,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,東京ヤクルトスワローズ,6,0.000,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.000,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
小野寺 暖,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
植田 海,阪神タイガース,横浜DeNAベイスターズ,0,,0,0,0,2026/06/28
植田 海,阪神タイガース,読売ジャイアンツ,0,,0,0,0,2026/06/28
植田 海,阪神タイガース,中日ドラゴンズ,1,0.000,0,0,1,2026/06/28
植田 海,阪神タイガース,広島東洋カープ,2,0.000,0,0,0,2026/06/28
植田 海,阪神タイガース,東京ヤクルトスワローズ,3,0.000,0,1,0,2026/06/28
植田 海,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
植田 海,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
植田 海,阪神タイガース,オリックス・バファローズ,1,0.000,0,0,0,2026/06/28
植田 海,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.000,0,0,0,2026/06/28
植田 海,阪神タイガース,埼玉西武ライオンズ,2,0.000,0,0,0,2026/06/28
植田 海,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
髙寺 望夢,阪神タイガース,横浜DeNAベイスターズ,10,0.172,0,3,1,2026/06/28
髙寺 望夢,阪神タイガース,読売ジャイアンツ,10,0.364,0,3,2,2026/06/28
髙寺 望夢,阪神タイガース,中日ドラゴンズ,8,0.235,1,2,0,2026/06/28
髙寺 望夢,阪神タイガース,広島東洋カープ,6,0.429,0,1,3,2026/06/28
髙寺 望夢,阪神タイガース,東京ヤクルトスワローズ,6,0.067,1,1,1,2026/06/28
髙寺 望夢,阪神タイガース,福岡ソフトバンクホークス,3,0.125,0,0,0,2026/06/28
髙寺 望夢,阪神タイガース,北海道日本ハムファイターズ,3,0.182,0,0,0,2026/06/28
髙寺 望夢,阪神タイガース,オリックス・バファローズ,3,0.100,0,1,0,2026/06/28
髙寺 望夢,阪神タイガース,東北楽天ゴールデンイーグルス,3,0.250,0,1,0,2026/06/28
髙寺 望夢,阪神タイガース,埼玉西武ライオンズ,3,0.273,0,1,1,2026/06/28
髙寺 望夢,阪神タイガース,千葉ロッテマリーンズ,3,0.111,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,横浜DeNAベイスターズ,2,0.000,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,読売ジャイアンツ,3,0.125,0,2,0,2026/06/28
中川 勇斗,阪神タイガース,中日ドラゴンズ,3,0.000,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,広島東洋カープ,2,0.000,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,東京ヤクルトスワローズ,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,北海道日本ハムファイターズ,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,オリックス・バファローズ,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,東北楽天ゴールデンイーグルス,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,埼玉西武ライオンズ,0,,0,0,0,2026/06/28
中川 勇斗,阪神タイガース,千葉ロッテマリーンズ,0,,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,横浜DeNAベイスターズ,3,0.500,0,1,0,2026/06/28
嶋村 麟士朗,阪神タイガース,読売ジャイアンツ,4,0.000,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,中日ドラゴンズ,2,0.500,0,1,0,2026/06/28
嶋村 麟士朗,阪神タイガース,広島東洋カープ,2,0.000,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,東京ヤクルトスワローズ,2,0.500,1,2,0,2026/06/28
嶋村 麟士朗,阪神タイガース,福岡ソフトバンクホークス,3,0.000,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,北海道日本ハムファイターズ,1,0.000,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,オリックス・バファローズ,3,0.111,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.000,0,0,0,2026/06/28
嶋村 麟士朗,阪神タイガース,埼玉西武ライオンズ,3,0.500,0,1,0,2026/06/28
嶋村 麟士朗,阪神タイガース,千葉ロッテマリーンズ,2,0.250,0,0,0,2026/06/28
福島 圭音,阪神タイガース,横浜DeNAベイスターズ,6,0.190,0,1,1,2026/06/28
福島 圭音,阪神タイガース,読売ジャイアンツ,4,0.333,0,0,0,2026/06/28
福島 圭音,阪神タイガース,中日ドラゴンズ,5,0.429,0,0,0,2026/06/28
福島 圭音,阪神タイガース,広島東洋カープ,7,0.182,0,0,2,2026/06/28
福島 圭音,阪神タイガース,東京ヤクルトスワローズ,8,0.276,0,1,0,2026/06/28
福島 圭音,阪神タイガース,福岡ソフトバンクホークス,0,,0,0,0,2026/06/28
福島 圭音,阪神タイガース,北海道日本ハムファイターズ,3,0.333,0,0,1,2026/06/28
福島 圭音,阪神タイガース,オリックス・バファローズ,3,0.200,0,0,0,2026/06/28
福島 圭音,阪神タイガース,東北楽天ゴールデンイーグルス,1,0.200,0,2,0,2026/06/28
福島 圭音,阪神タイガース,埼玉西武ライオンズ,1,0.000,0,0,0,2026/06/28
福島 圭音,阪神タイガース,千葉ロッテマリーンズ,1,0.000,0,0,1,2026/06/28
林 琢真,横浜DeNAベイスターズ,阪神タイガース,7,0.118,0,1,1,2026/06/28
