選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席,更新日
津森 宥紀,ソフトバンク,14,0,0,0,0,0,0,0,0,0,2026/06/01
中村 晃,ソフトバンク,20,0.143,0,2,4,0,0.2,0.179,0.379,30,2026/06/01
野村 勇,ソフトバンク,36,0.161,0,2,9,1,0.217,0.179,0.396,60,2026/06/01
廣瀨 隆太,ソフトバンク,2,0,0,0,0,0,0,0,0,1,2026/06/01
藤原 大翔,ソフトバンク,2,0,0,0,0,0,0,0,0,0,2026/06/01
ヘルナンデス,ソフトバンク,20,0,0,0,0,0,0,0,0,0,2026/06/01
前田 純,ソフトバンク,2,0,0,0,0,0,0,0,0,0,2026/06/01
前田 悠伍,ソフトバンク,4,0,0,0,0,0,0,0,0,0,2026/06/01
牧原 大成,ソフトバンク,50,0.273,0,8,45,4,0.311,0.333,0.644,182,2026/06/01
正木 智也,ソフトバンク,14,0.357,3,10,20,0,0.429,0.589,1.018,63,2026/06/01
松本 晴,ソフトバンク,8,0,0,0,0,0,0,0,0,0,2026/06/01
松本 裕樹,ソフトバンク,17,0,0,0,0,0,0,0,0,0,2026/06/01
柳田 悠岐,ソフトバンク,44,0.255,7,25,41,0,0.307,0.416,0.723,176,2026/06/01
柳町 達,ソフトバンク,31,0.208,0,13,21,0,0.299,0.277,0.576,118,2026/06/01
山川 穂高,ソフトバンク,46,0.175,9,25,25,0,0.292,0.378,0.67,168,2026/06/01
山本 恵大,ソフトバンク,11,0.29,1,2,9,0,0.353,0.419,0.772,34,2026/06/01
山本 祐大,ソフトバンク,13,0.35,2,8,14,0,0.422,0.525,0.947,45,2026/06/01
渡邉 陸,ソフトバンク,5,0.091,0,0,1,0,0.231,0.182,0.413,13,2026/06/01
淺間 大基,日本ハム,16,0.184,2,3,7,1,0.262,0.368,0.63,42,2026/06/01
有原 航平,日本ハム,6,0,0,0,0,0,0,0,0,0,2026/06/01
池田 隆英,日本ハム,6,0,0,0,0,0,0,0,0,0,2026/06/01
五十幡 亮汰,日本ハム,43,0.229,0,1,8,7,0.27,0.257,0.527,39,2026/06/01
伊藤 大海,日本ハム,10,0,0,0,0,0,0,0,0,4,2026/06/01
上原 健太,日本ハム,16,0,0,0,0,0,0,0,0,0,2026/06/01
梅林 優貴,日本ハム,1,0,0,0,0,0,0,0,0,2,2026/06/01
エドポロ ケイン,日本ハム,4,0,0,0,0,0,0,0,0,10,2026/06/01
大川 慈英,日本ハム,2,0,0,0,0,0,0,0,0,0,2026/06/01
大塚 瑠晏,日本ハム,19,0.2,1,2,6,0,0.351,0.333,0.684,37,2026/06/01
カストロ,日本ハム,35,0.248,7,16,27,2,0.317,0.459,0.776,123,2026/06/01
加藤 貴之,日本ハム,8,1,0,1,1,0,1,1,2,2,2026/06/01
上川畑 大悟,日本ハム,7,0.286,0,1,6,0,0.286,0.381,0.667,21,2026/06/01
河野 竜生,日本ハム,3,0,0,0,0,0,0,0,0,0,2026/06/01
菊地 大稀,日本ハム,3,0,0,0,0,0,0,0,0,0,2026/06/01
北山 亘基,日本ハム,9,0,0,0,0,0,0,0,0,0,2026/06/01
清宮 幸太郎,日本ハム,53,0.232,8,27,44,2,0.329,0.389,0.718,219,2026/06/01
古林 睿煬,日本ハム,6,0,0,0,0,0,0,0,0,0,2026/06/01
郡司 裕也,日本ハム,53,0.23,4,15,40,0,0.322,0.316,0.638,199,2026/06/01
齋藤 友貴哉,日本ハム,11,0,0,0,0,0,0,0,0,0,2026/06/01
島本 浩也,日本ハム,20,0,0,0,0,0,0,0,0,0,2026/06/01
清水 大暉,日本ハム,2,0,0,0,0,0,0,0,0,0,2026/06/01
清水 優心,日本ハム,15,0.13,1,4,3,0,0.231,0.304,0.535,27,2026/06/01
進藤 勇也,日本ハム,13,0.138,1,3,4,0,0.265,0.276,0.541,34,2026/06/01
達 孝太,日本ハム,9,0,0,0,0,0,0,0,0,0,2026/06/01
田中 正義,日本ハム,17,0,0,0,0,0,0,0,0,0,2026/06/01
玉井 大翔,日本ハム,12,0,0,0,0,0,0,0,0,0,2026/06/01
田宮 裕涼,日本ハム,44,0.28,2,11,37,2,0.312,0.402,0.714,143,2026/06/01
生田目 翼,日本ハム,6,0,0,0,0,0,0,0,0,0,2026/06/01
奈良間 大己,日本ハム,42,0.247,2,12,23,3,0.32,0.355,0.675,104,2026/06/01
西川 遥輝,日本ハム,18,0.186,1,4,8,1,0.364,0.326,0.69,55,2026/06/01
野村 佑希,日本ハム,43,0.235,7,25,32,0,0.276,0.426,0.702,145,2026/06/01
福島 蓮,日本ハム,5,0,0,0,0,0,0,0,0,3,2026/06/01
福谷 浩司,日本ハム,10,0,0,0,0,0,0,0,0,0,2026/06/01
細川 凌平,日本ハム,15,0.222,2,6,4,0,0.44,0.556,0.996,26,2026/06/01
細野 晴希,日本ハム,7,0,0,0,0,0,0,0,0,0,2026/06/01
堀 瑞輝,日本ハム,7,0,0,0,0,0,0,0,0,0,2026/06/01
マルティネス,日本ハム,9,0.056,0,0,1,0,0.15,0.056,0.206,20,2026/06/01
万波 中正,日本ハム,54,0.243,12,26,43,0,0.348,0.48,0.828,208,2026/06/01
水谷 瞬,日本ハム,14,0.229,1,6,11,0,0.25,0.354,0.604,52,2026/06/01
水野 達稀,日本ハム,51,0.287,1,15,51,6,0.343,0.388,0.731,202,2026/06/01
矢澤 宏太,日本ハム,42,0.208,3,5,15,4,0.25,0.417,0.667,76,2026/06/01
柳川 大晟,日本ハム,19,0,0,0,0,0,0,0,0,0,2026/06/01
山縣 秀,日本ハム,13,0,0,1,0,0,0,0,0,23,2026/06/01
山﨑 福也,日本ハム,7,0,0,0,0,0,0,0,0,0,2026/06/01
山本 拓実,日本ハム,9,0,0,0,0,0,0,0,0,0,2026/06/01
吉田 賢吾,日本ハム,7,0.071,0,1,1,0,0.071,0.214,0.285,14,2026/06/01
レイエス,日本ハム,52,0.299,9,27,59,0,0.35,0.487,0.837,214,2026/06/01
浅村 栄斗,楽天,47,0.26,5,19,40,1,0.345,0.383,0.728,177,2026/06/01
石原 彪,楽天,1,0,0,0,0,0,0,0,0,0,2026/06/01
伊藤 光,楽天,19,0.12,0,1,3,0,0.241,0.12,0.361,31,2026/06/01
伊藤 裕季也,楽天,19,0.188,3,8,9,0,0.245,0.438,0.683,53,2026/06/01
入江 大樹,楽天,9,0.25,0,0,3,0,0.25,0.25,0.5,12,2026/06/01
ウレーニャ,楽天,8,0,0,0,0,0,0,0,0,0,2026/06/01
内 星龍,楽天,19,0,0,0,0,0,0,0,0,0,2026/06/01
江原 雅裕,楽天,1,0,0,0,0,0,0,0,0,0,2026/06/01
太田 光,楽天,47,0.237,1,7,28,0,0.311,0.28,0.591,134,2026/06/01
小郷 裕哉,楽天,37,0.231,0,6,24,5,0.266,0.269,0.535,110,2026/06/01
加治屋 蓮,楽天,24,0,0,0,0,0,0,0,0,0,2026/06/01
金子 京介,楽天,1,0,0,0,0,0,0,0,0,2,2026/06/01
岸 孝之,楽天,1,0,0,0,0,0,0,0,0,0,2026/06/01
九谷 瑠,楽天,9,0,0,0,0,0,0,0,0,0,2026/06/01
黒川 史陽,楽天,52,0.251,1,12,45,1,0.346,0.302,0.648,208,2026/06/01
ゴンザレス,楽天,3,0.125,0,0,1,0,0.125,0.125,0.25,8,2026/06/01
古賀 康誠,楽天,1,0,0,0,0,0,0,0,0,0,2026/06/01
古謝 樹,楽天,8,0,0,0,0,0,0,0,0,1,2026/06/01
小深田 大翔,楽天,43,0.196,0,5,19,6,0.264,0.237,0.501,111,2026/06/01
阪上 翔也,楽天,3,0,0,0,0,0,0,0,0,7,2026/06/01
佐藤 直樹,楽天,27,0.283,4,6,26,1,0.298,0.5,0.798,94,2026/06/01
繁永 晟,楽天,5,0,0,0,0,0,0,0,0,9,2026/06/01
柴田 大地,楽天,12,0,0,0,0,0,0,0,0,0,2026/06/01
荘司 康誠,楽天,9,0,0,0,0,0,0,0,0,2,2026/06/01
鈴木 翔天,楽天,20,0,0,0,0,0,0,0,0,0,2026/06/01
鈴木 大地,楽天,27,0.175,0,2,7,0,0.25,0.225,0.475,46,2026/06/01
宋 家豪,楽天,14,0,0,0,0,0,0,0,0,0,2026/06/01
平良 竜哉,楽天,37,0.275,7,12,22,4,0.333,0.55,0.883,88,2026/06/01
瀧中 瞭太,楽天,7,0,0,0,0,0,0,0,0,2,2026/06/01
辰己 涼介,楽天,51,0.299,5,15,56,3,0.383,0.422,0.805,215,2026/06/01
田中 千晴,楽天,15,0,0,0,0,0,0,0,0,0,2026/06/01
津留﨑 大成,楽天,14,0,0,0,0,0,0,0,0,0,2026/06/01
中込 陽翔,楽天,2,0,0,0,0,0,0,0,0,0,2026/06/01
中島 大輔,楽天,42,0.216,1,8,25,4,0.26,0.336,0.596,128,2026/06/01
西垣 雅矢,楽天,22,0,0,0,0,0,0,0,0,0,2026/06/01
早川 隆久,楽天,7,0,0,0,0,0,0,0,0,0,2026/06/01
藤井 聖,楽天,5,0,0,0,0,0,0,0,0,0,2026/06/01
藤平 尚真,楽天,19,0,0,0,0,0,0,0,0,0,2026/06/01
藤原 聡大,楽天,3,0,0,0,0,0,0,0,0,0,2026/06/01
ボイト,楽天,20,0.119,0,3,8,0,0.189,0.164,0.353,74,2026/06/01
堀内 謙伍,楽天,3,0,0,0,0,0,0,0,0,5,2026/06/01
マッカスカー,楽天,13,0.195,2,9,8,0,0.292,0.415,0.707,48,2026/06/01
前田 健太,楽天,5,0,0,0,0,0,0,0,0,0,2026/06/01
武藤 敦貴,楽天,6,0.111,0,0,1,0,0.2,0.111,0.311,10,2026/06/01
村林 一輝,楽天,52,0.296,4,28,56,1,0.346,0.402,0.748,208,2026/06/01
陽 柏翔,楽天,1,0,0,0,0,0,0,0,0,1,2026/06/01
吉野 創士,楽天,3,0.25,0,0,1,0,0.25,0.25,0.5,4,2026/06/01
YG安田,楽天,15,0.158,1,4,6,0,0.22,0.316,0.536,41,2026/06/01
ワォーターズ,楽天,6,0,0,0,0,0,0,0,0,1,2026/06/01
渡辺 翔太,楽天,5,0,0,0,0,0,0,0,0,0,2026/06/01
渡邊 佳明,楽天,30,0.294,1,8,20,0,0.342,0.382,0.724,77,2026/06/01
青山 美夏人,西武,2,0,0,0,0,0,0,0,0,0,2026/06/01
秋山 俊,西武,5,0.143,0,0,2,0,0.143,0.143,0.286,14,2026/06/01
石井 一成,西武,25,0.218,2,5,17,0,0.256,0.346,0.602,82,2026/06/01
糸川 亮太,西武,9,0,0,0,0,0,0,0,0,0,2026/06/01
岩城 颯空,西武,20,0,0,0,0,0,0,0,0,0,2026/06/01
上田 大河,西武,6,0,0,0,0,0,0,0,0,0,2026/06/01
カナリオ,西武,49,0.274,6,25,48,3,0.332,0.44,0.772,190,2026/06/01
甲斐野 央,西武,21,0,0,0,0,0,0,0,0,0,2026/06/01
岸 潤一郎,西武,44,0.192,1,8,14,2,0.247,0.288,0.535,84,2026/06/01
栗山 巧,西武,10,0.111,0,0,1,0,0.2,0.111,0.311,10,2026/06/01
黒田 将矢,西武,16,0,0,0,0,0,0,0,0,0,2026/06/01
桑原 将志,西武,28,0.296,2,11,32,2,0.377,0.454,0.831,123,2026/06/01
源田 壮亮,西武,48,0.205,1,14,25,0,0.288,0.279,0.567,145,2026/06/01
古賀 悠斗,西武,40,0.356,2,10,26,2,0.422,0.466,0.888,87,2026/06/01
小島 大河,西武,34,0.272,2,6,31,0,0.284,0.36,0.644,116,2026/06/01
児玉 亮涼,西武,5,0,0,0,0,0,0,0,0,0,2026/06/01
佐藤 隼輔,西武,11,0,0,0,0,0,0,0,0,0,2026/06/01
佐藤 爽,西武,4,0,0,0,0,0,0,0,0,0,2026/06/01
佐藤 太陽,西武,8,0.2,1,1,2,0,0.2,0.5,0.7,10,2026/06/01
篠原 響,西武,17,0,0,0,0,0,0,0,0,0,2026/06/01
菅井 信也,西武,7,0,0,0,0,0,0,0,0,0,2026/06/01
隅田 知一郎,西武,8,0,0,0,0,0,0,0,0,0,2026/06/01
平良 海馬,西武,8,0.333,0,0,1,0,0.333,0.333,0.666,3,2026/06/01
髙橋 光成,西武,8,0,0,0,0,0,0,0,0,0,2026/06/01
滝澤 夏央,西武,48,0.291,1,13,39,5,0.383,0.343,0.726,161,2026/06/01
武内 夏暉,西武,8,0,0,0,0,0,0,0,0,2,2026/06/01
茶野 篤政,西武,11,0,0,0,0,0,0,0,0,3,2026/06/01
柘植 世那,西武,12,0.316,0,1,6,0,0.35,0.316,0.666,22,2026/06/01
外崎 修汰,西武,9,0.2,1,5,6,0,0.286,0.333,0.619,35,2026/06/01
仲田 慶介,西武,8,0.1,0,0,1,0,0.1,0.3,0.4,10,2026/06/01
仲三 優太,西武,8,0.087,1,2,2,0,0.192,0.217,0.409,26,2026/06/01
中村 祐太,西武,8,0,0,0,0,0,0,0,0,0,2026/06/01
西川 愛也,西武,39,0.214,2,13,28,3,0.234,0.313,0.547,140,2026/06/01
ネビン,西武,24,0.341,9,19,29,0,0.42,0.729,1.149,100,2026/06/01
長谷川 信哉,西武,48,0.265,7,19,36,3,0.318,0.485,0.803,152,2026/06/01
羽田 慎之介,西武,8,0,0,0,0,0,0,0,0,0,2026/06/01
浜屋 将太,西武,18,0,0,0,0,0,0,0,0,0,2026/06/01
平沢 大河,西武,35,0.295,2,11,36,1,0.358,0.418,0.776,135,2026/06/01
冨士 大和,西武,2,0,0,0,0,0,0,0,0,0,2026/06/01
堀越 啓太,西武,2,0,0,0,0,0,0,0,0,0,2026/06/01
豆田 泰志,西武,5,0,0,0,0,0,0,0,0,0,2026/06/01
山村 崇嘉,西武,16,0.205,1,5,8,0,0.279,0.282,0.561,44,2026/06/01
Ｅ．ラミレス,西武,4,0,0,0,0,0,0,0,0,0,2026/06/01
林 安可,西武,38,0.2,2,10,23,0,0.27,0.33,0.6,126,2026/06/01
ワイナンス,西武,3,0,0,0,0,0,0,0,0,0,2026/06/01
渡部 聖弥,西武,52,0.244,4,23,51,0,0.288,0.335,0.623,222,2026/06/01
渡邉 勇太朗,西武,8,0,0,0,0,0,0,0,0,3,2026/06/01
阿部 翔太,オリックス,2,0,0,0,0,0,0,0,0,0,2026/06/01
石川 亮,オリックス,1,0,0,0,0,0,0,0,0,0,2026/06/01
入山 海斗,オリックス,16,0,0,0,0,0,0,0,0,0,2026/06/01
エスピノーザ,オリックス,8,0,0,0,0,0,0,0,0,2,2026/06/01
大城 滉二,オリックス,10,0.313,0,3,5,0,0.313,0.375,0.688,16,2026/06/01
太田 椋,オリックス,39,0.281,3,20,38,0,0.372,0.437,0.809,156,2026/06/01
片山 楽生,オリックス,8,0,0,0,0,0,0,0,0,0,2026/06/01
川瀬 堅斗,オリックス,5,0,0,0,0,0,0,0,0,0,2026/06/01
来田 涼斗,オリックス,24,0.241,0,9,14,0,0.246,0.31,0.556,61,2026/06/01
宜保 翔,オリックス,9,0.118,0,0,2,2,0.211,0.118,0.329,20,2026/06/01
九里 亜蓮,オリックス,9,0,0,0,0,0,0,0,0,4,2026/06/01
紅林 弘太郎,オリックス,48,0.242,6,16,38,0,0.31,0.382,0.692,175,2026/06/01
古田島 成龍,オリックス,6,0,0,0,0,0,0,0,0,0,2026/06/01
権田 琉成,オリックス,5,0,0,0,0,0,0,0,0,0,2026/06/01
佐藤 一磨,オリックス,4,0,0,0,0,0,0,0,0,0,2026/06/01
シーモア,オリックス,37,0.169,3,15,22,0,0.193,0.269,0.462,135,2026/06/01
ジェリー,オリックス,8,0,0,0,0,0,0,0,0,0,2026/06/01
杉澤 龍,オリックス,6,0.385,0,1,5,0,0.529,0.615,1.144,17,2026/06/01
杉本 裕太郎,オリックス,3,0,0,0,0,0,0,0,0,8,2026/06/01
曽谷 龍平,オリックス,6,0,0,0,0,0,0,0,0,2,2026/06/01
髙島 泰都,オリックス,8,0,0,0,0,0,0,0,0,0,2026/06/01
髙谷 舟,オリックス,1,0,0,0,0,0,0,0,0,0,2026/06/01
田嶋 大樹,オリックス,6,0,0,0,0,0,0,0,0,0,2026/06/01
寺西 成騎,オリックス,15,0,0,0,0,0,0,0,0,0,2026/06/01
東松 快征,オリックス,5,0,0,0,0,0,0,0,0,0,2026/06/01
内藤 鵬,オリックス,1,0.5,0,0,2,0,0.5,0.75,1.25,4,2026/06/01
中川 圭太,オリックス,45,0.288,2,18,45,2,0.347,0.385,0.732,173,2026/06/01
西川 龍馬,オリックス,52,0.278,1,19,58,1,0.304,0.359,0.663,218,2026/06/01
西野 真弘,オリックス,19,0.189,0,0,10,0,0.218,0.208,0.426,56,2026/06/01
野口 智哉,オリックス,39,0.232,1,13,16,0,0.27,0.333,0.603,76,2026/06/01
平沼 翔太,オリックス,9,0.2,0,0,1,0,0.2,0.2,0.4,5,2026/06/01
平野 佳寿,オリックス,2,0,0,0,0,0,0,0,0,0,2026/06/01
廣岡 大志,オリックス,13,0.191,0,3,9,0,0.235,0.191,0.426,51,2026/06/01
博志,オリックス,7,0,0,0,0,0,0,0,0,0,2026/06/01
福永 奨,オリックス,5,0,0,0,0,0,0,0,0,2,2026/06/01
ペルドモ,オリックス,8,0,0,0,0,0,0,0,0,0,2026/06/01
マチャド,オリックス,19,0,0,0,0,0,0,0,0,0,2026/06/01
宮城 大弥,オリックス,3,0,0,0,0,0,0,0,0,0,2026/06/01
宮國 凌空,オリックス,1,0,0,0,0,0,0,0,0,0,2026/06/01
麦谷 祐介,オリックス,30,0.12,1,4,3,1,0.148,0.32,0.468,28,2026/06/01
椋木 蓮,オリックス,20,0,0,0,0,0,0,0,0,0,2026/06/01
宗 佑磨,オリックス,48,0.251,5,16,42,2,0.356,0.395,0.751,195,2026/06/01
森 友哉,オリックス,42,0.273,5,17,41,0,0.335,0.433,0.768,164,2026/06/01
山岡 泰輔,オリックス,1,0,0,0,0,0,0,0,0,0,2026/06/01
山﨑 颯一郎,オリックス,21,0,0,0,0,0,0,0,0,0,2026/06/01
山田 修義,オリックス,8,0,0,0,0,0,0,0,0,0,2026/06/01
山中 稜真,オリックス,9,0.345,0,6,10,1,0.424,0.414,0.838,33,2026/06/01
横山 楓,オリックス,7,0,0,0,0,0,0,0,0,0,2026/06/01
横山 聖哉,オリックス,3,0,0,0,0,0,0,0,0,7,2026/06/01
吉田 輝星,オリックス,11,0,0,0,0,0,0,0,0,0,2026/06/01
若月 健矢,オリックス,37,0.206,0,7,21,0,0.25,0.245,0.495,116,2026/06/01
渡部 遼人,オリックス,43,0.276,3,9,34,10,0.373,0.382,0.755,148,2026/06/01
愛斗,ロッテ,7,0.143,0,1,2,1,0.143,0.214,0.357,14,2026/06/01
東妻 勇輔,ロッテ,1,0,0,0,0,0,0,0,0,0,2026/06/01
池田 来翔,ロッテ,31,0.283,0,1,15,4,0.283,0.377,0.66,54,2026/06/01
石川 慎吾,ロッテ,9,0.125,1,5,3,0,0.25,0.25,0.5,28,2026/06/01
石垣 勝海,ロッテ,1,0,0,0,0,0,0,0,0,3,2026/06/01
井上 広大,ロッテ,18,0.143,3,6,6,0,0.159,0.357,0.516,44,2026/06/01
上田 希由翔,ロッテ,15,0.174,2,2,8,0,0.224,0.348,0.572,49,2026/06/01
岡 大海,ロッテ,26,0.133,0,0,6,2,0.204,0.156,0.36,50,2026/06/01
小川 龍成,ロッテ,51,0.306,0,10,48,2,0.339,0.338,0.677,171,2026/06/01
小島 和哉,ロッテ,5,0,0,0,0,0,0,0,0,0,2026/06/01
小野 郁,ロッテ,10,0,0,0,0,0,0,0,0,0,2026/06/01
唐川 侑己,ロッテ,1,0,0,0,0,0,0,0,0,0,2026/06/01
河村 説人,ロッテ,1,0,0,0,0,0,0,0,0,0,2026/06/01
菊地 吏玖,ロッテ,2,0,0,0,0,0,0,0,0,0,2026/06/01
木村 優人,ロッテ,3,0,0,0,0,0,0,0,0,0,2026/06/01
坂本 光士郎,ロッテ,7,0,0,0,0,0,0,0,0,0,2026/06/01
櫻井 ユウヤ,ロッテ,1,0,0,0,0,0,0,0,0,1,2026/06/01
佐藤 都志也,ロッテ,45,0.267,6,21,31,1,0.377,0.483,0.86,138,2026/06/01
澤田 圭佑,ロッテ,18,0,0,0,0,0,0,0,0,0,2026/06/01
ジャクソン,ロッテ,9,0.5,0,0,1,0,0.5,0.5,1,2,2026/06/01
鈴木 昭汰,ロッテ,20,0,0,0,0,0,0,0,0,0,2026/06/01
ソト,ロッテ,44,0.234,4,12,29,0,0.296,0.379,0.675,135,2026/06/01
高野 脩汰,ロッテ,16,0,0,0,0,0,0,0,0,0,2026/06/01
髙部 瑛斗,ロッテ,38,0.215,0,2,23,3,0.27,0.234,0.504,115,2026/06/01
田中 晴也,ロッテ,8,0,0,0,0,0,0,0,0,0,2026/06/01
種市 篤暉,ロッテ,2,0,0,0,0,0,0,0,0,0,2026/06/01
田村 龍弘,ロッテ,2,0,0,0,0,0,0,0,0,3,2026/06/01
寺地 隆成,ロッテ,50,0.172,3,13,29,0,0.247,0.237,0.484,191,2026/06/01
友杉 篤輝,ロッテ,50,0.282,0,13,40,2,0.325,0.331,0.656,156,2026/06/01
中森 俊介,ロッテ,10,0,0,0,0,0,0,0,0,0,2026/06/01
西川 史礁,ロッテ,52,0.298,5,22,61,2,0.357,0.42,0.777,224,2026/06/01
西野 勇士,ロッテ,6,0,0,0,0,0,0,0,0,0,2026/06/01
廣池 康志郎,ロッテ,8,0,0,0,0,0,0,0,0,2,2026/06/01
廣畑 敦也,ロッテ,3,0,0,0,0,0,0,0,0,0,2026/06/01
藤岡 裕大,ロッテ,9,0.136,0,1,3,0,0.2,0.136,0.336,26,2026/06/01
藤原 恭大,ロッテ,35,0.297,2,17,38,4,0.405,0.391,0.796,153,2026/06/01
ポランコ,ロッテ,45,0.209,4,12,24,0,0.273,0.383,0.656,128,2026/06/01
益田 直也,ロッテ,12,0,0,0,0,0,0,0,0,0,2026/06/01
松川 虎生,ロッテ,24,0.25,0,6,13,0,0.264,0.288,0.552,56,2026/06/01
宮﨑 颯,ロッテ,4,0,0,0,0,0,0,0,0,0,2026/06/01
宮崎 竜成,ロッテ,21,0.105,0,0,2,0,0.105,0.105,0.21,19,2026/06/01
毛利 海大,ロッテ,8,0,0,0,0,0,0,0,0,1,2026/06/01
八木 彬,ロッテ,15,0,0,0,0,0,0,0,0,0,2026/06/01
安田 尚憲,ロッテ,2,0.167,1,1,1,0,0.286,0.667,0.953,7,2026/06/01
山口 航輝,ロッテ,25,0.236,6,12,17,0,0.267,0.556,0.823,75,2026/06/01
山本 大斗,ロッテ,28,0.145,1,3,8,0,0.25,0.236,0.486,64,2026/06/01
横山 陸人,ロッテ,24,0,0,0,0,0,0,0,0,0,2026/06/01
ロング,ロッテ,16,0,0,0,0,0,0,0,0,0,2026/06/01
和田 康士朗,ロッテ,17,0.286,0,1,2,4,0.286,0.286,0.572,8,2026/06/01
